id,name,latitude,longitude
1,Stop1,37.160,-108.826
2,Stop2,37.866,-108.895
3,Stop3,38.687,-108.458
4,Stop4,39.434,-108.298
5,Stop5,40.583,-108.618
6,Stop6,37.620,-107.956
7,Stop7,38.004,-107.773
8,Stop8,38.930,-108.115
9,Stop9,39.802,-107.559
10,Stop10,40.178,-108.211
11,Stop11,37.353,-107.363
12,Stop12,38.207,-107.359
13,Stop13,38.750,-107.292
14,Stop14,39.451,-107.287
15,Stop15,40.583,-107.427
16,Stop16,37.127,-106.394
17,Stop17,38.355,-106.662
18,Stop18,39.240,-106.640
19,Stop19,39.931,-106.049
20,Stop20,40.719,-106.341
21,Stop21,37.106,-105.295
22,Stop22,37.997,-105.589
23,Stop23,38.955,-105.767
24,Stop24,39.917,-105.757
25,Stop25,40.740,-105.564
26,Stop26,37.346,-104.788
27,Stop27,38.184,-104.891
28,Stop28,39.044,-104.741
29,Stop29,39.745,-104.911
30,Stop30,40.154,-104.529
31,Stop31,37.109,-103.968
32,Stop32,38.270,-103.805
33,Stop33,38.503,-103.935
34,Stop34,39.496,-103.814
35,Stop35,40.682,-104.243
36,Stop36,37.395,-103.339
37,Stop37,37.753,-103.057
38,Stop38,39.012,-103.671
39,Stop39,39.352,-103.545
40,Stop40,40.073,-103.488
41,Stop41,37.605,-102.711
42,Stop42,38.300,-102.578
43,Stop43,38.865,-102.948
44,Stop44,39.551,-102.864
45,Stop45,40.558,-102.861
